PARK,ZIP,ACRES,WARD
SMITH (WENDELL),60628.0,4.61,9
FERNWOOD,60628.0,12.33,34
PARK NO. 564,60617.0,295.29,10
KLEIN (LOIS),60657.0,0.38,47
PARK NO. 551,60661.0,1.31,42
PARK NO. 576,60633.0,144.94,10
PARK NO. 572,60647.0,16.76,0
SEWARD (WILLIAM),60610.0,8.73,27
PARK NO. 528,60629.0,5.78,13
PARK NO. 529,60647.0,0.54,32
UNITY,60647.0,1.44,35
ROGERS (PHILLIP),60645.0,22.54,50
CHIPPEWA,60645.0,3.27,50
LEGION,60659.0,48.44,0
PALMISANO (HENRY),60608.0,27.05,11
RIDGE PARK WETLANDS,60643.0,1.21,19
DVORAK (ANTON),60608.0,6.34,25
LILY GARDENS,60621.0,2.82,6
WASHINGTON (HAROLD),60615.0,25.4,5
JUNEWAY BEACH,60626.0,1.02,49
LANGDON (MARY MARGARET),60626.0,0.44,49
EDGEBROOK,60646.0,7.6,41
PLEASANT POINT,60631.0,2.25,41
LANE (GEORGE) BEACH,60660.0,2.9,48
BROADWAY ARMORY,60660.0,2.09,48
BRYNFORD,60646.0,0.15,39
COCHRAN (JOHN),60640.0,0.38,48
GLADSTONE (WILLIAM),60630.0,1.73,45
CEDAR,60640.0,0.38,48
SUMMERDALE,60656.0,0.22,41
HICKORY,60640.0,0.25,46
CLYBOURN (ARCHIBALD),60614.0,0.49,2
PALMER (POTTER),60628.0,38.44,9
WESOLEK (MARLENE),60633.0,0.46,10
CANALPORT RIVERWALK,60608.0,5.2,25
TRIANGLE,60626.0,2.19,49
DICKINSON (ARTHUR),60641.0,1.22,45
GARFIELD (JAMES),60624.0,175.9,28
BURNHAM (DANIEL),60616.0,657.83,0
KELLY (JOHN),60613.0,1.39,44
CALIFORNIA,60618.0,14.55,33
KOLMAR,60641.0,1.03,45
UNION,60607.0,14.24,27
KELLY (EDWARD),60632.0,7.28,12
BROWN (SIDNEY) MEML.,60619.0,6.7,6
WOOD (ELIZABETH),60618.0,0.65,32
SOUTH LAKEVIEW,60657.0,0.8,32
KOSCIUSZKO (THADEUZ),60647.0,9.01,31
WRIGHTWOOD,60614.0,4.64,32
SCHAEFER (EDWARD),60614.0,0.25,32
OZ,60614.0,14.4,43
CHURCHILL FIELD,60614.0,1.24,32
MONTICELLO,60647.0,0.41,1
DEAN (JOHN),60622.0,0.66,1
STANTON (EDWIN),60610.0,6.74,27
HARDING (FREDERICK),60651.0,0.44,37
DURSO (JOHN),60610.0,1.48,27
DAWES (CHARLES),60620.0,16.56,18
AUSTIN (HENRY),60644.0,4.67,29
SKINNER (MARK),60606.0,5.85,27
NINEBARK,60623.0,0.25,24
KENNICOTT (JONATHAN),60653.0,2.89,4
VITTUM (HARRIET ELIZABETH),60638.0,13.31,22
CARVER (GEORGE WASHINGTON),60627.0,18.76,9
RIVER ESPLANADE,60611.0,1.12,42
PARK NO. 536,60622.0,0.32,2
JACKSON (MAHALIA),60620.0,5.99,21
MILLARD (ALDEN),60623.0,0.16,24
MIAMI,60623.0,0.22,22
WILSON (JOHN),60608.0,1.55,11
BRIGHTON,60632.0,0.94,12
STATEWAY,60609.0,3.96,3
JACKSON (ROBERT),60653.0,0.27,3
KENWOOD COMM.,60615.0,7.08,4
EUGENIE TRIANGLE,60614.0,0.06,43
NORMANDY,60638.0,2.89,14
SHERWOOD (JESSE),60621.0,6.4,20
LINDBLOM (ROBERT),60636.0,17.66,16
VALLEY FORGE,60638.0,8.32,0
HUCKLEBERRY,60637.0,0.3,20
MOCCASIN RANCH,60637.0,0.2,20
LAWLER (MICHAEL),60638.0,4.82,13
FLYING SQUIRREL,60637.0,0.33,5
MONTGOMERY (MABEL),60629.0,0.38,17
WOODHULL (ROSS),60649.0,2.46,8
HODES (BARNET),60649.0,0.57,8
MURRAY (DAVID),60636.0,3.51,17
"KING (MARTIN LUTHER, JR.)",60620.0,6.84,17
COLE (NAT KING),60619.0,5.91,6
EUCLID,60628.0,6.47,34
TRUMBULL (LYMAN),60617.0,18.04,7
